TOWN,PCODE
0,0
000,5091
10009 KAULETSI SECTION (ELLISRAS) (REMOTE),0609
AAN DE WIJNLANDEN,7600
ABBOTSDALE,7301
"ABBOTSFORD, East London",5241
"ABBOTSFORD, Johannesburg",2192
ABBOTSPOORT,0608
"ABDOOL SE WINKEL, Hoedspruit",1380
ABE MIDAS,A001
ABERDEEN (Tuesday's & Saturday Only),6270
"ACKERVILLE, Witbank/Emalahleni",1039
"ACORNHOEK (Mon, Wed & Fri Only)",1360
"ACTIVIA PARK, Elandsfontein",1406
ACTONVILLE Boxes,1506
"ACTONVILLE, Benoni",1501
"ADAMAYVIEW, Klerksdorp",2570
ADAMS MISSION,4100
"ADCOCK VALE Ext, Port Elizabeth",6045
"ADCOCK VALE, Port Elizabeth/ Gqeberha",6001
"ADDINGTON, Durban",4001
ADDNEY,0712
ADDO,6105
ADELAIDE,5760
ADENDORP,6282
"AERORAND, Middelburg",1050
"AEROTON, Johannesburg",2013
AFGUNS,0534
"AFRICASKOP, Free State",9595
"AGATHA, Tzaneen",0850
"AGAVIA, Krugersdorp",1739
AGGENEYS (Tuesday Only),8893
AGULHAS (Tuesday's & Thursday's Only),7287
"AHRENS ( Monday, Wednesday & Friday)",2930
"AIRDLIN, Sunninghill",2157
"AIRFIELD, Benoni",1501
"AIRLIE, Constantia",7806
"AIRPORT CITY, Cape Town",7490
"AIRPORT INDUSTRIA, Cape Town",7525
"AIRPORT TOWNSHIP, East London",5201
"AKASIA, Potgietersrus (Mokopane)",0600
"AKASIA, Pretoria",0182
AKASIAPARK Boxes,7415
"AKASIAPARK, Goodwood",7460
"AKASIAPARKKAMP, Goodwood",7460
AKKERHOF,0006
"ALABAMA, Klerksdorp",2570
"ALAN MANOR, Johannesburg",2091
ALBAINIA,Z008
"ALBANY, Pinetown",3610
"ALBERANTE Ext 1, Alberton",1449
ALBERMARLE & Ext 1,1401
"ALBERT FALLS, Pietermaritzburg",3201
"ALBERT ROAD, SALT RIVER",7930
ALBERTINIA ( Tuesday & Thursday only),6795
ALBERTON,1449
ALBERTON Boxes,1450
"ALBERTON Ext 28, Alberton",1449
ALBERTON NORTH Boxes,1456
"ALBERTON NORTH, Alberton",1449
ALBERTON-NOORD Busse,1456
"ALBERTON-NOORD, Alberton",1449
ALBERTSDAL & Ext 6 &,1449
"ALBERTSKROON, Johannesburg",2195
"ALBERTSVILLE, Johannesburg",2195
"ALBERTSVILLE, Port Shepstone",4240
"ALBERTWEG, SOUTRIVIER",7930
"ALBERTYNSHOF, Kimberley",8301
"ALBOWVILLE, Rugby",7405
"ALDARAPARK, Randburg",2194
"ALERT ENGINE PARTS, Nelspruit",A003
"ALERT ENGINE PARTS, Pretoria",000E
"ALEWYNSPOORT, Eikenhof",1872
ALEX FORBES SANDTON,A000
ALEXANDER BAY,8290
"ALEXANDER PARK, Pinetown",3610
"ALEXANDER PARK, Uitenhage / Kariega",6229
ALEXANDERBAAI,8290
ALEXANDRA Boxes,2014
"ALEXANDRA INRIGTING, Maitland",7405
"ALEXANDRA INSTITUTE, Maitland",7405
"ALEXANDRA, Johannesburg",2090
"ALEXANDRA, Pietermaritzburg",3201
ALEXANDRIA,6185
ALGERIA - Algiers,Z008
ALGERIA - Other Areas,Z008
ALGOAPARK Boxes,6005
"ALGOAPARK, Port Elizabeth/ Gqeberha",6001
ALICE,5700
ALICEDALE (Monday's Only),6135
"ALICEDALE Est/Lgd, Athlone",7764
ALIWAL NORTH,5532
ALIWAL NORTH (Serviced out of BFN),5530
ALKANTRANT,0005
"ALKMAAR, Nelspruit ( Tuesday & Thursday Only)",1201
"ALLANDALE HEIGHTS, Pietermaritzburg",3201
"ALLANDALE, Pietermaritzburg",3201
ALLANRIDGE,9490
"ALLANRIDGE, Welkom",9490
ALLDAYS (Tuesday & Thursday Only),0909
ALLEMANDSDRIFT,1270
"ALLEN GROVE, Kempton Park",1619
"ALLEN'S NEK, Roodepoort",1737
"ALLENBY Est/Lgd, Retreat",7785
"ALLENDALE, Retreat",7785
"ALLIANCE, Benoni",1507
ALMA (Tuesday & Friday's Only),0512
ALMA Mine,0512
"ALOEVALE, Queenstown/ Komani",5320
"ALPHEN Est/Lgd, Constantia",7800
"ALPHEN PARK, Benoni",1501
"ALPHENPARK, Pretoria",0081
"ALPHINE PARK, Mitchells Plain",7785
ALRAPARK Boxes,1495
"ALRAPARK, Nigel",1490
ALRODE,1449
ALRODE Boxes,1451
"ALRODE, Alberton",1449
"ALTON, Richards Bay",3900
ALUNSA,1785
AMABELE ( Special Trip),4931
"AMAJUBA PARK, Newcastle",2940
"AMAJUBA, Newcastle",2955
"AMALGAM, Johannesburg",2092
AMALIA (Thursday's Only),2786
AMALINDA Boxes,5252
"AMALINDA, East London",5247
"AMANDAGLEN, Durbanville",7550
"AMANDASIG, Pretoria",0182
"AMANDELBULT, Chromite",0362
"AMANDELKROON, Kuilsrivier",7580
"AMANDELRUG, Kuilsriver",7580
"AMANDELSIG, Kuilsriver",7580
"AMANZI FARM, Howick",3290
"AMANZIMNYAMA,Tongaat",4400
AMANZIMTOTI,4126
AMANZIMTOTI  Streets,4126
AMANZIMTOTI Boxes,4125
